Age,playerid,PA,K%,ISO,wOBA,LD%,GB%,FB%,Soft%,Med%,Hard%,batter,Pos,height,weight,game_year
37,4403,2,0.0%,0.5,1.054,0.0%,50.0%,50.0%,0.0%,50.0%,50.0%,456124,C,76,250,2017
25,12508,2,0.0%,1.5,1.033,0.0%,0.0%,100.0%,0.0%,50.0%,50.0%,542908,C,76,235,2015
28,2554,8,37.5%,0.875,0.769,0.0%,40.0%,60.0%,0.0%,20.0%,80.0%,476633,RF,73,220,2016
28,9414,9,22.2%,0.375,0.705,80.0%,0.0%,20.0%,0.0%,66.7%,33.3%,450641,LF,73,195,2013
30,2324,1,0.0%,0,0.701,0.0%,0.0%,0.0%,NA,NA,NA,400268,C,74,215,2010
25,8211,3,33.3%,1,0.691,0.0%,50.0%,50.0%,0.0%,50.0%,50.0%,518799,C,71,200,2010
25,8211,3,33.3%,1,0.691,0.0%,50.0%,50.0%,0.0%,50.0%,50.0%,518799,1B,71,200,2010
25,13300,1,0.0%,0,0.691,0.0%,0.0%,0.0%,NA,NA,NA,571851,C,72,210,2016
29,877,1,0.0%,0,0.69,0.0%,0.0%,0.0%,NA,NA,NA,452105,C,76,235,2013
27,8298,10,30.0%,0.6,0.659,14.3%,57.1%,28.6%,28.6%,14.3%,57.1%,506747,C,74,230,2017
30,8879,6,16.7%,0.167,0.648,80.0%,20.0%,0.0%,0.0%,60.0%,40.0%,543432,C,76,240,2018
24,5278,6,50.0%,0.5,0.629,33.3%,33.3%,33.3%,0.0%,33.3%,66.7%,465674,3B,72,180,2010
26,12547,2,0.0%,0.5,0.621,50.0%,50.0%,0.0%,0.0%,100.0%,0.0%,543308,1B,74,230,2016
24,15982,8,62.5%,0.75,0.618,66.7%,0.0%,33.3%,0.0%,33.3%,66.7%,624507,1B,74,221,2018
22,15878,8,0.0%,0.286,0.614,14.3%,57.1%,28.6%,14.3%,57.1%,28.6%,609280,3B,72,215,2017
24,15149,15,26.7%,0.714,0.592,20.0%,40.0%,40.0%,0.0%,40.0%,60.0%,641820,LF,76,215,2016
32,2167,31,9.7%,0.455,0.55,15.8%,42.1%,42.1%,10.5%,47.4%,42.1%,430681,1B,74,210,2012
24,13288,12,41.7%,0.4,0.538,40.0%,40.0%,20.0%,0.0%,80.0%,20.0%,598284,LF,76,235,2015
20,13152,8,25.0%,0.5,0.537,25.0%,50.0%,25.0%,0.0%,75.0%,25.0%,593871,SS,71,200,2014
21,10323,6,33.3%,0,0.53,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,542364,LF,71,160,2012
28,5942,29,17.2%,0.2,0.525,30.0%,50.0%,20.0%,20.0%,60.0%,20.0%,491696,C,72,200,2016
30,9433,3,0.0%,0,0.523,50.0%,0.0%,50.0%,50.0%,0.0%,50.0%,572863,C,74,205,2018
26,3390,13,30.8%,0.5,0.51,0.0%,50.0%,50.0%,25.0%,50.0%,25.0%,460055,CF,78,235,2010
30,11145,8,0.0%,0,0.506,0.0%,83.3%,16.7%,16.7%,50.0%,33.3%,518568,2B,70,195,2019
24,16448,7,28.6%,0.5,0.504,0.0%,25.0%,75.0%,0.0%,75.0%,25.0%,641924,C,74,230,2019
22,15694,22,31.8%,0.444,0.499,18.2%,45.5%,36.4%,18.2%,18.2%,63.6%,642082,C,74,195,2017
26,8760,7,28.6%,0.5,0.498,25.0%,50.0%,25.0%,0.0%,25.0%,75.0%,451713,LF,77,260,2013
24,16909,12,8.3%,0.455,0.498,20.0%,50.0%,30.0%,20.0%,50.0%,30.0%,592567,3B,76,205,2017
30,7324,4,25.0%,0.333,0.49,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,460269,C,74,230,2013
26,13419,15,33.3%,0.583,0.489,14.3%,28.6%,57.1%,14.3%,28.6%,57.1%,572233,1B,72,220,2017
24,15464,36,13.9%,0.429,0.487,13.3%,43.3%,43.3%,6.7%,66.7%,26.7%,592669,RF,73,220,2016
30,9953,7,42.9%,0.6,0.487,0.0%,50.0%,50.0%,50.0%,0.0%,50.0%,572114,2B,69,180,2018
26,11624,54,38.9%,0.408,0.486,28.6%,39.3%,32.1%,7.1%,53.6%,39.3%,592620,LF,76,225,2015
25,16565,6,16.7%,0.2,0.469,50.0%,0.0%,50.0%,50.0%,25.0%,25.0%,657145,RF,72,215,2018
30,7095,17,29.4%,0.429,0.468,11.1%,66.7%,22.2%,11.1%,66.7%,22.2%,447736,LF,76,230,2012
22,11579,654,20.0%,0.319,0.461,22.2%,38.5%,39.3%,11.9%,47.2%,40.9%,547180,RF,75,220,2015
22,17005,7,28.6%,0.333,0.458,0.0%,25.0%,75.0%,25.0%,25.0%,50.0%,608325,2B,74,200,2016
30,1744,652,14.4%,0.288,0.455,24.0%,38.7%,37.4%,9.5%,45.4%,45.1%,408234,1B,76,249,2013
24,7927,9,11.1%,0,0.454,50.0%,50.0%,0.0%,16.7%,33.3%,50.0%,519299,2B,70,185,2010
23,10622,9,0.0%,0.25,0.454,25.0%,50.0%,25.0%,37.5%,37.5%,25.0%,595025,2B,74,210,2013
23,10622,9,0.0%,0.25,0.454,25.0%,50.0%,25.0%,37.5%,37.5%,25.0%,595025,LF,74,210,2013
26,11738,32,31.3%,0.406,0.45,13.6%,50.0%,36.4%,40.9%,27.3%,31.8%,570799,3B,71,210,2017
25,13611,614,14.8%,0.294,0.449,21.2%,33.9%,44.9%,12.2%,43.3%,44.5%,605141,RF,69,180,2018
23,2554,88,14.8%,0.237,0.448,19.0%,38.1%,42.9%,17.5%,58.7%,23.8%,476633,RF,73,220,2011
23,17620,10,0.0%,0.333,0.448,11.1%,44.4%,44.4%,22.2%,44.4%,33.3%,664702,SS,70,180,2018
29,1737,348,17.8%,0.274,0.448,22.0%,33.1%,44.9%,15.3%,39.4%,45.3%,408047,1B,76,220,2010
24,10059,17,29.4%,0.2,0.447,40.0%,30.0%,30.0%,9.1%,63.6%,27.3%,545358,C,70,200,2015
27,14811,161,26.7%,0.35,0.447,28.0%,35.0%,37.0%,9.0%,44.0%,47.0%,572228,1B,75,225,2018
28,12510,13,23.1%,0.333,0.447,14.3%,28.6%,57.1%,28.6%,42.9%,28.6%,592200,C,75,225,2017
26,10155,608,20.4%,0.316,0.447,23.4%,31.3%,45.3%,16.0%,39.6%,44.4%,545361,CF,74,235,2018
29,1875,571,16.6%,0.274,0.445,22.0%,41.7%,36.3%,12.4%,52.6%,35.1%,285078,LF,76,240,2010
29,3057,432,19.7%,0.312,0.445,19.6%,39.2%,41.3%,18.9%,46.2%,35.0%,435063,1B,73,225,2011
23,16939,44,18.2%,0.368,0.445,26.7%,46.7%,26.7%,20.0%,36.7%,43.3%,657041,CF,73,210,2019
26,6968,11,36.4%,0.4,0.444,16.7%,33.3%,50.0%,16.7%,33.3%,50.0%,464426,CF,74,220,2012
26,6968,11,36.4%,0.4,0.444,16.7%,33.3%,50.0%,16.7%,33.3%,50.0%,464426,RF,74,220,2012
29,3531,375,15.2%,0.263,0.444,23.3%,37.8%,38.9%,15.6%,42.2%,42.2%,453064,SS,75,205,2014
22,14523,34,8.8%,0.286,0.444,8.0%,60.0%,32.0%,36.0%,40.0%,24.0%,600474,C,73,219,2016
30,1887,655,16.9%,0.306,0.443,16.0%,36.9%,47.0%,22.7%,38.2%,39.2%,430832,RF,72,205,2011
32,5995,51,13.7%,0.255,0.442,17.5%,45.0%,37.5%,15.0%,52.5%,32.5%,450260,3B,73,210,2014
29,8001,336,15.5%,0.293,0.442,22.0%,40.6%,37.4%,16.1%,37.8%,46.1%,434670,SS,74,235,2013
25,447,2,0.0%,0,0.442,0.0%,100.0%,0.0%,0.0%,50.0%,50.0%,444859,LF,73,200,2012
21,5751,2,0.0%,0,0.442,0.0%,100.0%,0.0%,50.0%,50.0%,0.0%,541650,3B,73,215,2012
27,11477,580,20.3%,0.342,0.442,20.9%,43.2%,35.9%,14.4%,34.8%,50.8%,592885,LF,75,195,2019
25,7226,2,50.0%,0,0.439,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,571602,3B,75,230,2016
23,12983,2,0.0%,0,0.439,0.0%,100.0%,0.0%,50.0%,0.0%,50.0%,605508,LF,72,185,2016
32,1605,14,50.0%,0.333,0.439,50.0%,0.0%,50.0%,0.0%,0.0%,100.0%,407849,3B,72,210,2012
39,409,340,24.1%,0.344,0.439,21.4%,40.8%,37.8%,12.2%,41.8%,45.9%,123272,1B,76,250,2010
27,7996,18,5.6%,0.063,0.439,20.0%,60.0%,20.0%,0.0%,53.3%,46.7%,500874,RF,78,215,2016
28,4314,475,17.9%,0.23,0.438,30.2%,37.8%,32.0%,10.0%,50.5%,39.5%,458015,1B,74,220,2012
26,4314,648,19.3%,0.276,0.438,20.0%,45.2%,34.8%,11.1%,48.9%,40.0%,458015,1B,74,220,2010
28,1744,688,12.9%,0.241,0.437,22.1%,44.1%,33.8%,18.2%,44.9%,36.9%,408234,1B,76,249,2011
25,10155,507,17.8%,0.323,0.437,18.4%,36.7%,44.9%,19.0%,42.7%,38.3%,545361,CF,74,235,2017
27,10155,600,20.0%,0.353,0.436,26.6%,24.3%,49.2%,13.0%,43.2%,43.8%,545361,CF,74,235,2019
22,19556,369,25.5%,0.342,0.432,24.9%,38.0%,37.1%,10.0%,38.9%,51.1%,670541,LF,77,225,2019
27,1744,648,14.7%,0.294,0.431,18.9%,39.3%,41.7%,11.3%,44.1%,44.6%,408234,1B,76,249,2010
29,6184,489,26.2%,0.387,0.43,18.5%,38.3%,43.2%,14.0%,37.0%,49.0%,502110,RF,75,220,2017
